numid,full name,old scientific,genus,species,common,id notes,checked by,,,,,,,,,,,,,,,,,,
29,Passiflora sp.,Passiflora sp.,Passiflora.,sp.,NA,,AK,,,,,,,,,,,,,,,,,,
29,Simira viridiflora,Simira viridiflora,Simira,viridiflora,NA,,AK,,,,,,,,,,,,,,,,,,
29,Chrysophyllum splendens,Chrysophyllum splendens,Chrysophyllum,splendens,NA,,AK,,,,,,,,,,,,,,,,,,
29,Cissus sp.,Cissus sp.,Cissus.,sp.,NA,,AK,,,,,,,,,,,,,,,,,,
30,Brazilian Pepper (Schinus terebinthifolius),Schinus terebinthifolius,Schinus,terebinthifolius,Brazilian Pepper,,AK,,,,,,,,,,,,,,,,,,
31,Mangifera indica,Mangifera indica,Mangifera,indica,NA,,AK,,,,,,,,,,,,,,,,,,
31,Spondias spp.,Spondias spp.,Spondias.,sp.,NA,changed spp. to sp. ,AK,,,,,,,,,,,,,,,,,,
31,Rauvolfia sp.,Rauvolfia sp.,Rauvolfia.,sp.,NA,,AK,,,,,,,,,,,,,,,,,,
31,Schefflera morotonii,Schefflera morotonii,Schefflera,morotonii,NA,,AK,,,,,,,,,,,,,,,,,,
31,Attalea oleifera,Attalea oleifera,Attalea,oleifera,NA,,AK,,,,,,,,,,,,,,,,,,
31,Euterpe oleraceae,Euterpe oleraceae,Euterpe,oleraceae,NA,,AK,,,,,,,,,,,,,,,,,,
31,Mauritia flexuosa,Mauritia flexuosa,Mauritia,flexuosa,NA,,AK,,,,,,,,,,,,,,,,,,
31,Licania tomentosa,Licania tomentosa,Licania,tomentosa,NA,,AK,,,,,,,,,,,,,,,,,,
31,Margaritaria nobilis,Margaritaria nobilis,Margaritaria,nobilis,NA,,AK,,,,,,,,,,,,,,,,,,
31,Clitoria fairchildiana,Clitoria fairchildiana,Clitoria,fairchildiana,NA,,AK,,,,,,,,,,,,,,,,,,
31,Inga spp.,Inga spp.,Inga.,sp.,NA,changed spp. to sp.,AK,,,,,,,,,,,,,,,,,,
31,Tamarindus indica,Tamarindus indica,Tamarindus,indica,NA,,AK,,,,,,,,,,,,,,,,,,
31,Byrsonima spicata,Byrsonima spicata,Byrsonima,spicata,NA,,AK,,,,,,,,,,,,,,,,,,
31,Artocarpus heterophyllus,Artocarpus heterophyllus,Artocarpus,heterophyllus,NA,,AK,,,,,,,,,,,,,,,,,,
31,Brosimum guinaense,Brosimum guinaense,Brosimum,guinaense,NA,,AK,,,,,,,,,,,,,,,,,,
31,Psidium cattleianum,Psidium cattleianum,Psidium,cattleianum,NA,,AK,,,,,,,,,,,,,,,,,,
31,Psidium guajava,Psidium guajava,Psidium,guajava,NA,,AK,,,,,,,,,,,,,,,,,,
31,Solanum paniculatum,Solanum paniculatum,Solanum,paniculatum,NA,,AK,,,,,,,,,,,,,,,,,,
31,Solanum stramonifolium,Solanum stramonifolium,Solanum,stramonifolium,NA,,AK,,,,,,,,,,,,,,,,,,
32,Piper aduncum,Piper aduncum,Piper,aduncum,NA,,AK,,,,,,,,,,,,,,,,,,
32,Piper hispidinervum,Piper hispidinervum,Piper,hispidinervum,NA,,AK,,,,,,,,,,,,,,,,,,
