"","Genus","Species","Abbrev","Infraspecific","ID","Plant.Name.Index","TPL_version","Taxonomic.status","Family","New.Genus","New.Hybrid.marker","New.Species","New.Infraspecific","Authority","New.ID","Typo","WFormat"
"132","Margaritaria","nobilis",NA,"","kew-120587",TRUE,"1.1","Accepted","Phyllanthaceae","Margaritaria","","nobilis","","L.f.","kew-120587",FALSE,FALSE
"133","Clitoria","fairchildiana",NA,"","ild-10748",TRUE,"1.1","Accepted","Leguminosae","Clitoria","","fairchildiana","","R.A.Howard","ild-10748",FALSE,FALSE
"134","Inga.","sp.",NA,"","",FALSE,"1.1","","","Inga.","","sp.","","","",FALSE,FALSE
"135","Tamarindus","indica",NA,"","ild-1720",TRUE,"1.1","Accepted","Leguminosae","Tamarindus","","indica","","L.","ild-1720",FALSE,FALSE
"136","Byrsonima","spicata",NA,"","kew-2688397",TRUE,"1.1","Accepted","Malpighiaceae","Byrsonima","","spicata","","(Cav.) Rich. ex Kunth","kew-2688397",FALSE,FALSE
"137","Artocarpus","heterophyllus",NA,"","kew-2653982",TRUE,"1.1","Accepted","Moraceae","Artocarpus","","heterophyllus","","Lam.","kew-2653982",FALSE,FALSE
"138","Brosimum","guinaense",NA,"","",FALSE,"1.1","","","Brosimum","","guinaense","","","",FALSE,FALSE
"139","Psidium","cattleianum",NA,"","kew-166659",TRUE,"1.1","Accepted","Myrtaceae","Psidium","","cattleianum","","Afzel. ex Sabine","kew-166659",FALSE,FALSE
"140","Psidium","guajava",NA,"","kew-166741",TRUE,"1.1","Accepted","Myrtaceae","Psidium","","guajava","","L.","kew-166741",FALSE,FALSE
"141","Solanum","paniculatum",NA,"","tro-29600133",TRUE,"1.1","Accepted","Solanaceae","Solanum","","paniculatum","","L.","tro-29600133",FALSE,FALSE
"142","Solanum","stramonifolium",NA,"","tro-29603063",TRUE,"1.1","Accepted","Solanaceae","Solanum","","stramoniifolium","","Jacq.","tro-29603063",TRUE,FALSE
"143","Piper","aduncum",NA,"","kew-2559296",TRUE,"1.1","Accepted","Piperaceae","Piper","","aduncum","","L.","kew-2559296",FALSE,FALSE
"144","Piper","hispidinervum",NA,"","kew-2558111",TRUE,"1.1","Synonym","Piperaceae","Piper","","hispidum","","Sw.","kew-2558107",FALSE,FALSE
"145","Solanum","granuloso-leprosum",NA,"","tro-29601478",TRUE,"1.1","Accepted","Solanaceae","Solanum","","granuloso-leprosum","","Dunal","tro-29601478",FALSE,FALSE
